cell_line	p1	p4	p10
786-0	76.136572	68.87762	93.33646
A375	76.25666	99.6178	118.78512
A549	106.63604	120.9561	100.92004
A549/Asc-1	105.8544	105.2240667	122.62734
AS283	174.7016	227.187	161.5346
AsPC-1	685.1364	431.8226	329.8734
CA46	268.9866	232.0658	196.036
CAKI-1	88.5482	75.32046	62.82176
CCRF-CEM	166.3884	167.4658	99.67682
COLO 205	512.0332	414.9238	471.2442
COLO 829	74.66982	123.51916	98.60722
CP70	116.64318	47.230028	106.58016
EKVX	609.3598	290.4238	428.6502
GTL-16	228.7794	199.3446	182.7038
HCC-2998	320.3874	357.2158	284.788
HCT-116	104.47122	88.15454	91.95616
HCT-15	98.08402	83.38276	78.48836
HeLa-Luc	91.12352	70.86576	64.98722
HL-60(TB)	247.5192	230.8164	236.4002
HOP-62	392.64464	104.43586	123.28158
HOP-92	215.1216	161.457	106.8889
HT-29	556.4844	326.0186	360.3896
HuH-7	169.2116	102.25308	60.9856
K-562	127.59174	97.22628	150.92314
KM12	123.67078	118.28016	88.52448
LOX IMVI	166.41906	73.52678	107.26952
M14	69.4357	82.148	103.09798
MALME-3M	104.85582	183.2934	126.69722
MCF7	118.11448	77.76502	82.89642
MDA-MB-231T	60.95354	98.5094	58.464446
MDA-MB-435	77.07396	74.49966	77.42356
MDA-N	106.16672	72.57786	100.90884
MOLT-4	100.90332	81.78932	109.47364
NCI-H226	72.96435	86.72044	124.52232
NCI-H23	67.07982	119.63616	147.21168
NCI-H460	119.11034	71.72126	127.94734
NCI-H522	141.44912	124.41376	133.1864
OVCAR-3	153.9227	70.75822	48.25452
OVCAR-5	315.4654	241.8966	217.9738
PC-3	100.325	79.1172	98.86994
PC-3/M	104.92034	116.89514	70.70124
RXF 393	128.94266	57.59894	54.59282
SN12C	159.16344	51.0489	61.28006
SR	102.19948	83.58784	71.40232
SW-620	174.52782	156.347	207.965
U251	90.64076	63.60058	99.41484
UACC-62	135.5872	88.94712	86.79752
